2025-06-18 16:58:19: Row 620: Invalid voltages: 1.8427, -0.0036
2025-06-18 16:58:19: Row 621: Invalid voltages: 1.8427, -0.0026
2025-06-18 16:58:19: Row 622: Invalid voltages: 1.8428, -0.0026
2025-06-18 16:58:19: Row 623: Invalid voltages: 1.8427, -0.0026
2025-06-18 16:58:19: Row 624: Invalid voltages: 1.8427, -0.0026
2025-06-18 16:58:19: Row 625: Invalid voltages: 1.8428, -0.0026
2025-06-18 16:58:19: Row 626: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 627: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 628: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 629: Invalid voltages: 1.8427, -0.0026
2025-06-18 16:58:19: Row 630: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 631: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 632: Invalid voltages: 1.8425, -0.0026
2025-06-18 16:58:19: Row 633: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 634: Invalid voltages: 1.8426, -0.0026
2025-06-18 16:58:19: Row 635: Invalid voltages: 1.8425, -0.0026
2025-06-18 16:58:19: Row 636: Invalid voltages: 1.8425, -0.0026
2025-06-18 16:58:19: Row 637: Invalid voltages: 1.8420, -0.0027
2025-06-18 16:58:19: Row 638: Invalid voltages: 1.8424, -0.0027
2025-06-18 16:58:19: Row 639: Invalid voltages: 1.8408, -0.0026
2025-06-18 16:58:19: Row 640: Invalid voltages: 1.8425, -0.0026
2025-06-18 16:58:19: Row 641: Invalid voltages: 1.8424, -0.0027
2025-06-18 16:58:19: Row 642: Invalid voltages: 1.8424, -0.0026
2025-06-18 16:58:19: Row 643: Invalid voltages: 1.8425, -0.0026
2025-06-18 16:58:19: Row 644: Invalid voltages: 1.8424, -0.0026
2025-06-18 16:58:19: Row 645: Invalid voltages: 1.8425, -0.0026
2025-06-18 16:58:19: Row 646: Invalid voltages: 1.8424, -0.0026
2025-06-18 16:58:19: Row 647: Invalid voltages: 1.8423, -0.0035
2025-06-18 16:58:19: Row 648: Invalid voltages: 1.8424, -0.0027
2025-06-18 16:58:19: Row 649: Invalid voltages: 1.8423, -0.0026
2025-06-18 16:58:19: Row 650: Invalid voltages: 1.8423, -0.0026
2025-06-18 16:58:19: Row 651: Invalid voltages: 1.8424, -0.0027
2025-06-18 16:58:19: Row 652: Invalid voltages: 1.8424, -0.0026
2025-06-18 16:58:19: Row 653: Invalid voltages: 1.8424, -0.0026
2025-06-18 16:58:19: Row 654: Invalid voltages: 1.8423, -0.0027
2025-06-18 16:58:19: Row 655: Invalid voltages: 1.8423, -0.0026
2025-06-18 16:58:19: Row 656: Invalid voltages: 1.8423, -0.0027
2025-06-18 16:58:19: Row 657: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 658: Invalid voltages: 1.8421, -0.0026
2025-06-18 16:58:19: Row 659: Invalid voltages: 1.8422, -0.0026
2025-06-18 16:58:19: Row 660: Invalid voltages: 1.8421, -0.0027
2025-06-18 16:58:19: Row 661: Invalid voltages: 1.8421, -0.0027
2025-06-18 16:58:19: Row 662: Invalid voltages: 1.8421, -0.0027
2025-06-18 16:58:19: Row 663: Invalid voltages: 1.8421, -0.0028
2025-06-18 16:58:19: Row 664: Invalid voltages: 1.8421, -0.0027
2025-06-18 16:58:19: Row 665: Invalid voltages: 1.8421, -0.0026
2025-06-18 16:58:19: Row 666: Invalid voltages: 1.8421, -0.0035
2025-06-18 16:58:19: Row 667: Invalid voltages: 1.8419, -0.0026
2025-06-18 16:58:19: Row 668: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 669: Invalid voltages: 1.8420, -0.0028
2025-06-18 16:58:19: Row 670: Invalid voltages: 1.8421, -0.0026
2025-06-18 16:58:19: Row 671: Invalid voltages: 1.8419, -0.0026
2025-06-18 16:58:19: Row 672: Invalid voltages: 1.8420, -0.0026
2025-06-18 16:58:19: Row 673: Invalid voltages: 1.8420, -0.0025
2025-06-18 16:58:19: Row 674: Invalid voltages: 1.8421, -0.0027
2025-06-18 16:58:19: Row 675: Invalid voltages: 1.8419, -0.0026
2025-06-18 16:58:19: Row 676: Invalid voltages: 1.8420, -0.0026
2025-06-18 16:58:19: Row 677: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 678: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 679: Invalid voltages: 1.8417, -0.0027
2025-06-18 16:58:19: Row 680: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 681: Invalid voltages: 1.8418, -0.0026
2025-06-18 16:58:19: Row 682: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 683: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 684: Invalid voltages: 1.8418, -0.0027
2025-06-18 16:58:19: Row 685: Invalid voltages: 1.8419, -0.0026
2025-06-18 16:58:19: Row 686: Invalid voltages: 1.8419, -0.0028
2025-06-18 16:58:19: Row 687: Invalid column count: ['2025-06-17 00:56:10.536', '', '', "'Error: HTTPConnectionPool(host='192.168.1.192'", ' port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fef28276a20>', " 'Connection to 192.168.1.192 timed out. (connect timeout=0.1)'))'"]
2025-06-18 16:58:19: Row 688: Invalid voltages: 1.8419, -0.0027
2025-06-18 16:58:19: Row 689: Invalid voltages: 1.8418, -0.0028
2025-06-18 16:58:19: Row 690: Invalid voltages: 1.8413, -0.0030
2025-06-18 16:58:19: Row 691: Invalid voltages: 1.8418, -0.0026
2025-06-18 16:58:19: Row 692: Invalid voltages: 1.8418, -0.0027
2025-06-18 16:58:19: Row 693: Invalid voltages: 1.8417, -0.0026
2025-06-18 16:58:19: Row 694: Invalid voltages: 1.8413, -0.0027
2025-06-18 16:58:19: Row 695: Invalid voltages: 1.8418, -0.0026
2025-06-18 16:58:19: Row 696: Invalid voltages: 1.8417, -0.0027
2025-06-18 16:58:19: Row 697: Invalid voltages: 1.8418, -0.0026
2025-06-18 16:58:19: Row 698: Invalid voltages: 1.8417, -0.0028
2025-06-18 16:58:19: Row 699: Invalid voltages: 1.8417, -0.0026
2025-06-18 16:58:19: Row 700: Invalid voltages: 1.8417, -0.0027
2025-06-18 16:58:19: Row 701: Invalid voltages: 1.8416, -0.0027
2025-06-18 16:58:19: Row 702: Invalid voltages: 1.8416, -0.0026
2025-06-18 16:58:19: Row 703: Invalid voltages: 1.8416, -0.0027
2025-06-18 16:58:19: Row 704: Invalid voltages: 1.8416, -0.0026
2025-06-18 16:58:19: Row 705: Invalid voltages: 1.8416, -0.0026
2025-06-18 16:58:19: Row 706: Invalid voltages: 1.8416, -0.0026
2025-06-18 16:58:19: Row 707: Invalid voltages: 1.8416, -0.0027
2025-06-18 16:58:19: Row 708: Invalid voltages: 1.8416, -0.0028
2025-06-18 16:58:19: Row 709: Invalid voltages: 1.8412, -0.0029
2025-06-18 16:58:19: Row 710: Invalid voltages: 1.8415, -0.0026
2025-06-18 16:58:19: Row 711: Invalid voltages: 1.8414, -0.0026
2025-06-18 16:58:19: Row 712: Invalid voltages: 1.8415, -0.0026
2025-06-18 16:58:19: Row 713: Invalid voltages: 1.8414, -0.0027
2025-06-18 16:58:19: Row 714: Invalid voltages: 1.8415, -0.0026
2025-06-18 16:58:19: Row 715: Invalid voltages: 1.8414, -0.0027
2025-06-18 16:58:19: Row 716: Invalid voltages: 1.8415, -0.0026
2025-06-18 16:58:19: Row 717: Invalid voltages: 1.8414, -0.0026
2025-06-18 16:58:19: Row 718: Invalid voltages: 1.8414, -0.0026
2025-06-18 16:58:19: Row 719: Invalid voltages: 1.8414, -0.0029
